frase	duracao_media	total_classificacoes	classificacao_majoritaria	total_positiva	total_negativa	total_neutra
 A história fala de três amigas gordinhas, que um dia , se cansam de ser como são, se cansam de ver os olhares de gozo das outras pessoas, se cansam de não poder fazer o que as outras mulheres fazem, se cansam de ser umas badochas.	8.46725	4	negativa	1	3	0
 Ainda mais que tudo que tá acontecendo ultimamente está me levando pra perto dele.	5.5678	5	neutra	1	0	4
 Amo você mais do que a mim mesma, afinal você é minha mãe.	2.9242	5	positiva	5	0	0
 Ela fica jogando na minha cara que eu não sei fazer nada, e ai eu fico com isso na cabeça, e me deixa mais impotente ainda. 	8.11675	4	negativa	0	4	0
 Ele sempre esteve do meu lado e o que eu mais queria é que ele estivesse do meu lado todos os dias.	8.6396	5	positiva	3	2	0
 Em casa as coisas vão de mal a pior, a situação do meu irmão e da minha cunhada se arrasta, causando um sofrimento enorme pra minha família.	8.471	5	negativa	0	4	1
 Entrei, pedi licença e fui pegar um livro de romance!	3.7584000000000004	5	neutra	0	0	5
 Estava aqui em casa eu e um grupo de amigas olhando umas músicas na internet, só a gente, meus pais e meu irmão tinham saído, fui vim no meu quarto pra pegar alguma coisa.	6.227	4	neutra	1	0	3
 Eu aluguei o livro e saí.	2.911	5	neutra	1	0	4
 Eu divido o quarto com a minha irmã, então ficou eu na minha cama, ele no colchão (no chão do meu lado) e minha irmã na cama dela que é logo do lado (pertinho).	8.44125	4	negativa	0	4	0
 Eu não consigo mais esconder a tristeza, e as lágrimas já tomaram conta dos meus olhos.	57.907999999999994	5	negativa	1	3	1
 Eu que mando na hora do sexo.	3.6430000000000002	6	neutra	2	1	3
 Fala de uma quase adolescente (quase porque ela ainda ta se formando e tals) meu Deus.	7.500249999999999	4	neutra	1	0	3
 Mas eu acabei lendo e me interessei pra caramba nele.	13.9546	5	positiva	3	0	2
 Mas é que pra mim é tão dificil conseguir te agradar.	5.18025	4	negativa	1	3	0
 Me desculpe, ou melhor, me perdoe por eu não ser a filha dos seus sonhos tao perfeitos, por eu só te decepcionar quando você esperava o maximo de mim.	5.7194	5	negativa	0	5	0
 Minha mente diz que é loucura esperar tanto tempo, mas coração diz que é possível.	14.370749999999997	4	positiva	3	0	1
 Na ultima consulta psiquiátrica, ele quis me dar um neuroléptico ( recusei na hora, engordar tô fora) e no retorno ele sugeriu um estabilizador de humor.	7.577249999999999	4	neutra	0	1	3
 Paixão é apenas uma coisa de momento e gostar é diferente de amar.	4.8838	5	positiva	3	0	2
 Perto da nossa escola tem um posto de saudade e eu pedi para ele ir lá e pegar camisinha para mim, pq mesmo eu sendo menina acho que é bom ter guardado para o caso de for transa com alguém ter camisinha e ficar protegido.	7.5556	5	positiva	4	0	1
 Pior que só tem ele lá no horário que vou, e eu fico sem graça com isso né?	5.7548	5	empate	2	2	1
 Quando a bibliotecária foi entregar o livro quase morre de vergonha por ter pego aquele livro.	17.276333333333334	6	negativa	1	3	2
.E é incrível como esse sentimento me faz bem e mal ao mesmo tempo.	5.352833333333334	6	neutra	0	0	6
.Foi legal, depois de muita conversa ficamos namorando, incrível como aquele garoto tem o dom de me enlouquecer e ao mesmo tempo me fazer feliz.	2.883	4	positiva	4	0	0
5 anos sem a pessoa que mais me importa nesse mundo.	2.8571999999999997	5	negativa	0	5	0
A Felicidade está sempre batendo a nossa porta, basta abri-la e convidá-la a entrar.	3.1776	5	positiva	5	0	0
A Nanda ligou para a SAMU mas não adiantou muita coisa eles não podiam vir, mas o meu pai me levou para a UPA lá fui atendia rapidamente o medico não sabia o que eu tinha e me receitou um remédio para eu parar de tremer o remédio era via venosa ou seja teria que tomar ele junto com soro na veia. 	13.39225	4	negativa	0	3	1
A aula de português estava chata.	1.698	4	empate	2	0	2
A beleza de uma mulher está dentro dela.	2.7338	5	positiva	4	0	1
A beleza de uma mulher está no seu sorriso, na sua personalidade, na sua simplicidade.	2.1765	4	negativa	0	4	0
A compulsão por doces continua, me dá uma aliviada momentânea.	6.936	5	negativa	0	4	1
A descoberta de novos sentimentos, novas ações e tals.	4.6162	5	neutra	1	0	4
A gente conversou e logo eu familiarizei com ela, achei que não teria coragem de contar os meus problemas pra uma desconhecida, mais consegui falar sobre tudo com ela.	6.313666666666666	6	positiva	6	0	0
A gente só sabe das coisas vivendo, muitos julgam.	4.7235	4	neutra	1	0	3
A janela não está com suas dezenas de xampus.	3.33975	4	neutra	1	0	3
A maioria das aulas são de manhã, ou seja, tenho que acordar cedo.	3.1118	5	neutra	0	1	4
A maturidade bateu em minha porta cedo, eu tinha que colocar comida na mesa cedo.	5.9928	5	empate	1	2	2
A mentira mata, mas a dúvida tortura.	2.8362000000000003	5	negativa	0	5	0
A minha mãe disse que estou muito rebelde!	5.261	4	negativa	0	4	0
A minha prima de 4 anos estava na sala conversando com minha mãe ai eu simplesmente terminei e fui pra sala.	8.4048	5	neutra	0	0	5
A miserável vida do Paulo Anderson.	3.5534	5	negativa	0	4	1
A noite estava chegando quando ouvi o batido na porta.	3.189666666666667	6	neutra	0	0	6
A noite, eu chorei.	1.97325	4	negativa	0	3	1
A não ser pelo fato de que o idiota do cabeleireiro errou.	4.5568333333333335	6	negativa	0	6	0
A saudade é a maior prova de que o passado valeu a pena.	2.424	4	positiva	4	0	0
A senhora ainda brincava, fazia a gente sorrir e sempre que alguém dizia, como vai dona Maria?	7.0120000000000005	4	positiva	4	0	0
A senhora sempre respondia, vou bem graças a Deus, que mulher guerreira que fostes vó, te amo tanto.	3.7910000000000004	4	positiva	3	0	1
A uns meses atrás eu reencontrei um amigo então ele começou a me dar ideia e eu fui acreditando ele falo tanta coisas linda.	7.2156666666666665	6	positiva	6	0	0
A verdade dói, sempre doeu	2.622	5	negativa	1	3	1
A verdade é que sou intensa demais e não há quem dê jeito nisso.	4.56975	4	empate	2	0	2
A vida dá tantas voltas.	2.4414000000000002	5	neutra	2	0	3
A vida foi cruel comigo, desde de pequena já trabalhando como engraxate, passando fome e vendo todos com pai e mãe, e eu órfã com pais vivos.	8.143	5	negativa	0	4	1
A vida nos foi dada gratuitamente.	3.9	5	positiva	4	0	1
A vontade de chorar volta.	1.8211666666666666	6	negativa	0	6	0
A única coisa que fizemos foi sexo oral, ele em mim.	4.945600000000001	5	neutra	1	1	3
AI ME LEVANTEI E FUI LA FORA, POIS NÃO DEMOROU MUITO E ELE FOI ATRÁZ, FICOU ME PERGUNTANDO ATÉ QUE HORAS EU TRABALHAVA.	7.9926	5	neutra	0	2	3
Acabamos nos beijando mais e mais, meus braços o abraçaram.	2.903	4	positiva	3	0	1
Acabando a prova, eu desci encontrei ele no pátio, ele pegou o livro da minha mão e fomos pra parada, chegando lá sentamos e começamos a conversar, conversa vai, conversa vinha.	7.1572499999999994	4	positiva	3	0	1
Acabei conhecendo uma pessoa que eu a amo e ela me ama também.	3.3672000000000004	5	positiva	4	0	1
Achei que a melhor forma de me expressar contar minhas vitórias e derrotas as coisas certas e erradas que eu fiz tinha que ser no computador.	8.1006	5	neutra	1	0	4
Achei uma solução, ou melhor, na minha cabeça era a única solução.	4.00775	4	empate	2	0	2
Acho isso ridículo, intendam se ele não gosta de você agora ,nem adianta minha filha, aliás adianta sim, se você ter uma bunda enoorme e um peito grande, ele pode até pensar em se interessar por você.	12.662	5	negativa	0	4	1
Acho que a maioria nem vai responder, só por ter passado por uma experiência tão ruim em relação a estes.	7.970833333333334	6	negativa	0	6	0
Acho que ele prefere você, e não a minha razão.	7.2836	5	neutra	0	2	3
Acho que entendo a situação, mostre-me onde estão a pá e os pregos.	9.180666666666665	6	positiva	3	1	2
Acho que não vou passar pro ITB, muito menos pra FIEB.	4.2725	4	negativa	0	3	1
Acho que viver um romance é muito mais legal que apenas um lance.	4.4235	4	positiva	4	0	0
Acho que vou fazer permanente e libertar os cachos que existem dentro de mim!	6.2796	5	neutra	2	0	3
Acordamos bem cedo, voltamos para casa dela, logo chegaria o caminhão para levar a mudança, tinha assumido uma responsabilidade grande.	12.300333333333333	6	neutra	0	0	6
Acordei atrasada, com aquela vontade de ficar na cama, aquela vontade de não fazer nada, simplesmente, vegetar!	5.3325000000000005	6	negativa	0	4	2
Acordei com Helen me olhando, sabia que ela também não estava bem, mas naquele momento era a única pessoa que eu tinha e eu era a única pessoa que ela tinha, tomei banho, me troquei e já estava a sair.	10.026333333333334	6	empate	0	3	3
Acordei com o Matheus me chamando , depois fiz uma coisinha minha mãe chego , vim pro computador , já fui na casa da Dani e só .	8.803799999999999	5	neutra	0	0	5
Acordei como de costume as 6 e 20 para ir ao colégio, me arrumei, e fui.	3.7969999999999997	5	empate	2	1	2
Acordei na ilusão de ir ao uma festa e beber como toda adolescente de 17 anos.	5.5414	5	empate	1	2	2
Acordo bem mais disposta.	2.0715	4	positiva	4	0	0
Acredito que por causa disso essas férias foram perfeitas.	3.5595	4	positiva	4	0	0
Adoro crianças , e as vezes me pareço muito com elas , adoro brincar , pular , enfim... bagunça , adoro coisas alegres e diferentes .	4.28875	4	positiva	4	0	0
Adoro eles pois são muito legais e divertidos, adoramos rir e fazer brincadeiras.	3.7385	4	positiva	4	0	0
Afinal, para mim, que sempre levei vida de esposa fiel, tudo eram novidade, e novidade sempre atraem as mulheres.	43.40225	4	empate	2	0	2
Agente está começando a se afastar e você nem notou.	4.252	6	negativa	0	6	0
Agora com o coração mais aberto, seguia com o caminhão em direção a nova casa, depois de trinta minutos estávamos próximas.	15.805499999999999	4	positiva	3	0	1
Agora depois de três anos me vejo em frente ao lavabo, não fiz nenhum tipo de força simplesmente vomitei como nos velhos tempos.	7.38425	4	negativa	0	3	1
Agora estou aqui com meus cartões todos tendo que ser parcelados (vou pagar o triplo do valor por conta dos juros), sem nenhum centavo e ainda por cima com o Diego brigando comigo e jogando na minha cara todos os dias que eu sou burra e emprestei o dinheiro pro meu pai.	7.87825	4	negativa	0	4	0
Agora eu simplesmente não reclamo de nada, fico quieto guardando isso tudo dentro de mim.	5.8208	5	negativa	0	4	1
Agora eu sou sustentada por memórias, sabia?	3.6668	5	negativa	1	3	1
Agora já é 00:03, estou deprimido, sozinho e incerto de meu futuro.	2.9004000000000003	5	negativa	0	5	0
Agora você deve saber o porque eu não suporto suas namoradinhas, porque elas sempre estavam com o garoto que eu realmente amo e o que eu quero ficar e sempre quis.	7.13875	4	negativa	0	4	0
Agradecemos cada vez mais as sugestões enviadas e estamos trabalhando por um diário cada vez melhor!	15.35	4	empate	2	0	2
Ah! Meu bem, você é a minha metade.	3.7550000000000003	4	positiva	3	0	1
Ah, além de todo sofrimento todo que estou sentindo agora, também tem porque meus pais não querem que eu namore com uma pessoa tão especial sabe.	7.2139999999999995	6	negativa	0	6	0
Ai a chorona aqui passou a noite chorando, até ficar de olhos inchados.	3.3135	4	negativa	0	4	0
Ai a doida falou com ela e nem entendi a conversa delas mas acabei ficando calada.	7.205799999999999	5	neutra	0	2	3
Ai chegou aquela doida que te falei naquele dia que eu paguei mico e que ela não me deixava conversar com a minha melhor amiga.	6.1948333333333325	6	negativa	1	4	1
