frase	empate_masculino	empate_feminino	total_positiva_m	total_negativa_m	total_neutra_m	total_positiva_f	total_negativa_f	total_neutra_f
 Pior que só tem ele lá no horário que vou, e eu fico sem graça com isso né?	Sim	Não	2	2	1	0	1	3
A aula de português estava chata.	Sim	Não	2	0	2	4	0	1
A maturidade bateu em minha porta cedo, eu tinha que colocar comida na mesa cedo.	Sim	Não	1	2	2	0	4	0
A verdade é que sou intensa demais e não há quem dê jeito nisso.	Sim	Sim	2	0	2	0	2	2
Achei uma solução, ou melhor, na minha cabeça era a única solução.	Sim	Sim	2	0	2	2	0	2
Acordei com Helen me olhando, sabia que ela também não estava bem, mas naquele momento era a única pessoa que eu tinha e eu era a única pessoa que ela tinha, tomei banho, me troquei e já estava a sair.	Sim	Não	0	3	3	0	3	1
Acordei como de costume as 6 e 20 para ir ao colégio, me arrumei, e fui.	Sim	Não	2	1	2	0	0	4
Acordei na ilusão de ir ao uma festa e beber como toda adolescente de 17 anos.	Sim	Não	1	2	2	0	1	3
Afinal, para mim, que sempre levei vida de esposa fiel, tudo eram novidade, e novidade sempre atraem as mulheres.	Sim	Sim	2	0	2	2	0	2
Agradecemos cada vez mais as sugestões enviadas e estamos trabalhando por um diário cada vez melhor!	Sim	Não	2	0	2	3	0	2
Ainda tenho sua coleira, seus potes de ração, tudo que te pertencia.	Sim	Não	1	2	2	1	2	1
Ao cair da noite nos dirigimos ao hotel mais próximo da casa, com uma boa aparência, ficava mais a vontade para passar a noite.	Sim	Sim	2	0	2	2	0	2
Ao mesmo tempo me fazem bem, mas ao mesmo tempo me fazem mal.	Sim	Não	0	3	3	0	2	4
Boa parte dos que ameaçam fazer, não fazem, mas se você está pensando, eu tenho um relato a dar.	Sim	Não	0	2	2	0	0	4
Boca macia, gulosa, quente, que vai tentar engolir ele todo e não vai conseguir, vai lambe-lo completamente para compensar o fato de não pode-lo tocar por inteiro com a boca.	Sim	Não	3	0	3	1	0	3
Bom tudo começou em Abril do ano passado quando minha mãe começou a namorar um homem que eu nem sei da onde que apareceu , bom eles estavam namorando a uma semana e ele já tava morando dentro da mi.nha casa	Sim	Não	0	2	2	0	4	0
Bom, nesses dias, eu sempre sinto sua falta.	Sim	Não	2	2	0	0	2	3
Brincar de comidinha com as vizinhas !	Sim	Sim	3	0	3	2	0	2
Chegando à fábrica fiz o processo normal, quando estou chegando a minha sala vejo o telefone tocar e quando olho o nome dele surgi no visor , meu coração dispara, atendo e marcamos para nos ver na saída, fico meio tranquila.	Sim	Não	2	1	2	1	0	3
Com 27 anos, me imagino ainda estudando alguma coisa que me interesse, se for preciso estudar tudo de novo, me imagino com um canudo de respeito na mão, me imagino ter passado pelas melhores e mais engraçadas coisas da vida.	Sim	Não	2	0	2	3	0	1
Conheci uma menina nova lá, acho que vamos ser amigas.	Sim	Não	2	0	2	0	2	3
Conversamos sobre um futuro , mais tão presente em nós , casamento , sobre ver algumas casas , nos imaginamos juntos pra sempre , na nossa casa, com nossas coisas do nosso jeito e ele me imaginando grávida !	Sim	Não	2	0	2	3	1	0
Correr pela rua, voltar pra casa toda suja de terra, brincadeiras de pique-esconde , policia e ladrão, pique-pega.	Sim	Não	2	0	2	5	0	0
Depois de mais uma vez ter tido provas de que esse alguém não me quer , decidi que vou esquece-lo.	Sim	Não	2	2	1	2	1	1
Dessa vez vou ter que ser forte.	Sim	Não	2	0	2	0	0	5
E ele não se importa se os pais dela não gostam.	Sim	Não	2	2	1	0	1	3
E fiquei particularmente atraída por cenas de sadomasoquismo	Sim	Não	2	0	2	2	0	3
E não, não foi o remédio, porque ele demora muito pra fazer efeito, não é assim de uma hora pra outra.	Sim	Não	2	0	2	0	0	4
E por falar nisso, segunda que vem começam minhas aulas na faculdade.	Sim	Não	2	0	2	0	0	4
