ParticipantMD5	GeneroCod	frase	Value	duracao
77da0ef6622c18e6a245f2609d5fc04b	f	Já são mais de 5 anos que sofro deste mal, perdi muito e venho perdendo cada dia mais, hoje foi um daqueles dias em que pensei em suicídio, mas novamente decidi continuar tentando.	negativa	74.439
77da0ef6622c18e6a245f2609d5fc04b	f	Ja estou no limite para chegar a cima do peso.	negativa	9.711
77da0ef6622c18e6a245f2609d5fc04b	f	Comprei meu livro.	neutra	5.7
77da0ef6622c18e6a245f2609d5fc04b	f	Confesso que aquilo me dava um prazer quase que desconhecido, era uma delicia sentir nossas línguas se encostando enquanto ele apertava meus seios.	positiva	7.151
77da0ef6622c18e6a245f2609d5fc04b	f	Mais uma vez eu to aqui me lamentando, eu estou arrasada, meu marido ele mentiu pra mim, ele criou um perfil no facebook escondido de mim, adicionou várias mulheres, inclusive ex-namoradas.	negativa	11.191
77da0ef6622c18e6a245f2609d5fc04b	f	Ela me fala coisas e depois diz que não falou, me chama de mentirosa.	negativa	6.601
77da0ef6622c18e6a245f2609d5fc04b	f	Eles brigaram e ela terminou com ele.	negativa	13.451
77da0ef6622c18e6a245f2609d5fc04b	f	Ganhei um notebook novo.	positiva	4.248
77da0ef6622c18e6a245f2609d5fc04b	f	Depois de uma hora consegui, peguei meu buzão e um engarrafamento horrível.	negativa	11.024
77da0ef6622c18e6a245f2609d5fc04b	f	Vejo muitas garotas sofrendo por garotinhos que não dão a minima para elas, então pra ganharem atenção fingem ser algo que não são. 	neutra	14.723
77da0ef6622c18e6a245f2609d5fc04b	f	Eu já estava acostumada por saber que muitos garotos já declaravam pra mim.	neutra	10.517
77da0ef6622c18e6a245f2609d5fc04b	f	E quantas vezes já choramos por a pessoa que não merece uma gota da nossa lagrima, corremos atrás dele e não enxergamos a verdade, e muitas vezes não queremos enxerga ela, por que a verdade dói e machuca muita.	negativa	15.372
77da0ef6622c18e6a245f2609d5fc04b	f	Já me fiz essa pergunta e voltei três vezes e hoje o sofrimento é mil vezes maior.	negativa	8.48
77da0ef6622c18e6a245f2609d5fc04b	f	A vida nos foi dada gratuitamente.	neutra	5.647
77da0ef6622c18e6a245f2609d5fc04b	f	Passando então esses 3 horários, chegou o intervalo, encontrei de novo meu namorado, descemos juntos e fomos para ao pátio sentar com de costume no mesmo lugar que sentamos todos os dias.	neutra	28.074
77da0ef6622c18e6a245f2609d5fc04b	f	Meu coração acelera, minhas mãos ficam geladas e meia tremulas, me dá um frio na barriga, e uma sensação estranha quando ele tá por perto, e principalmente quando estamos a sós, ou até mesmo na multidão, quando ele me abraça e diz: você está linda hoje.	positiva	11.768
77da0ef6622c18e6a245f2609d5fc04b	f	Que vergonha que eu passei no ônibus, ele todo maloqueiro.	negativa	8.838
77da0ef6622c18e6a245f2609d5fc04b	f	Tudo que eu quero é ficar sozinha, apagar a luz do quarto e esperar o tempo passar, esperando que a dor vá embora.	negativa	4.949
77da0ef6622c18e6a245f2609d5fc04b	f	Consegui a ajuda de uma pessoa para alugar uma casa, comprar moveis, estar fazendo faculdade e ter uma vida mais o menos.	positiva	9.312
77da0ef6622c18e6a245f2609d5fc04b	f	Seu lado da sapateira era cheio de sapatos que nunca acabava e eu sempre reclamava da confusão.	neutra	27.165
77da0ef6622c18e6a245f2609d5fc04b	f	Quando ela te encher a paciência, não brigue, ela só gosta de te ver um pouco irritado, por que sabe que depois você vai abrir um sorriso, e ela ama esse sorriso.	neutra	13.219
77da0ef6622c18e6a245f2609d5fc04b	f	Mas então as 5 da manha eu acordo com a minha mãe gritando e pedindo socorro , ele tinha entrado dentro de casa e tava tentando matar ela.	negativa	9.082
77da0ef6622c18e6a245f2609d5fc04b	f	AI ME LEVANTEI E FUI LA FORA, POIS NÃO DEMOROU MUITO E ELE FOI ATRÁZ, FICOU ME PERGUNTANDO ATÉ QUE HORAS EU TRABALHAVA.	neutra	18.865
77da0ef6622c18e6a245f2609d5fc04b	f	A vida foi cruel comigo, desde de pequena já trabalhando como engraxate, passando fome e vendo todos com pai e mãe, e eu órfã com pais vivos.	negativa	14.935
77da0ef6622c18e6a245f2609d5fc04b	f	Bem, esse é meu primeiro texto então vou me apresentar, meu nome é Kevin, moro em PE.	neutra	7.086
77da0ef6622c18e6a245f2609d5fc04b	f	Você sempre será aquela menininha de cabelos loiros e um sorriso no rosto mais lindo do universo, eu amo você, não esqueça.	positiva	9.592
77da0ef6622c18e6a245f2609d5fc04b	f	Agora eu simplesmente não reclamo de nada, fico quieto guardando isso tudo dentro de mim.	negativa	7.458
77da0ef6622c18e6a245f2609d5fc04b	f	Ela namora há quase 4 anos, já terminou uma vez, mas por pouco tempo.	neutra	4.574
77da0ef6622c18e6a245f2609d5fc04b	f	Mãe, desculpe por eu ser quem sou, por eu ser tão e unicamente eu, por eu ser diferente, por eu ser tão errada aos olhos teus.	negativa	10.304
77da0ef6622c18e6a245f2609d5fc04b	f	Pois amigos também dizem EU TE AMO!	positiva	15.847
77da0ef6622c18e6a245f2609d5fc04b	f	Sim, isso me envergonha, gosto de estar sob controle. 	negativa	13.172
77da0ef6622c18e6a245f2609d5fc04b	f	Os que desprezam os pequenos acontecimentos nunca farão grandes descobertas, pequenos momentos mudam grandes rotas.	neutra	29.708
77da0ef6622c18e6a245f2609d5fc04b	f	Bom como meu ultimo post foi em agosto , de lá pra cá aconteceram muitas coisas e esse tempo todinho sem postar alguma coisa foi porque meus dias estavam muito corridos vou tentar manter uma certa frequência por aqui.	neutra	11.404
77da0ef6622c18e6a245f2609d5fc04b	f	Estar sozinho é triste, enche o saco dos outros e deve fazer mal para a saúde.	negativa	10.201
77da0ef6622c18e6a245f2609d5fc04b	f	Hoje iniciei o dia conversando com o Gabriel, o mais novo aqui da obra nova em que eu sou uma das responsáveis.	neutra	10.077
77da0ef6622c18e6a245f2609d5fc04b	f	Então, caso vocês não se vejam mais, ligue para ela e a convide para sair para os dois conversarem.	neutra	9.721
77da0ef6622c18e6a245f2609d5fc04b	f	Fui a um churrasco na casa de um amigo, e a conheci, Carol o nome dela, depois descobri que era Jessica mas tudo bem.	neutra	27.905
77da0ef6622c18e6a245f2609d5fc04b	f	Eu não to nem ai pro teu carro, pra tua moto ou pra tua mulher, se eu quiser, eu corro atrás.	positiva	23.837
77da0ef6622c18e6a245f2609d5fc04b	f	Sou sozinho apesar de ser casado, mas há tempo que este casamento não passa de um papel assinado, o amor se foi juntamente com o respeito e a confiança, tudo o que sobrou foi o comodismo, a tristeza e a falta de esperança por falta da minha esposa.	negativa	19.324
77da0ef6622c18e6a245f2609d5fc04b	f	 Ainda mais que tudo que tá acontecendo ultimamente está me levando pra perto dele.	neutra	13.924
77da0ef6622c18e6a245f2609d5fc04b	f	Tive apendicite com sérias complicações.	negativa	3.946
77da0ef6622c18e6a245f2609d5fc04b	f	Poste frases de garota desapegada,que não precisa de homem nenhum pra ser feliz.	negativa	39.705
77da0ef6622c18e6a245f2609d5fc04b	f	Ainda me lembro das vezes que você me olhava e dizia o quanto me amava, o quanto me queria.	positiva	17.753
77da0ef6622c18e6a245f2609d5fc04b	f	Penso que estou em seus braços, encolhida e tímida, apaixonada e realizada.	positiva	3.778
77da0ef6622c18e6a245f2609d5fc04b	f	Fico com inveja dos meus amigos que resolvem tudo sozinhos, sabem ir pra todos os lugares, e numa boa.	negativa	11.918
77da0ef6622c18e6a245f2609d5fc04b	f	O que ele fez pra mim foi uma traição está me doendo muito.	negativa	7.934
77da0ef6622c18e6a245f2609d5fc04b	f	A mentira mata, mas a dúvida tortura.	negativa	3.043
77da0ef6622c18e6a245f2609d5fc04b	f	Hoje estou muito chateada, eu acho que eu estou sendo traída meu marido está me tratando diferente com muita frieza.	negativa	5.264
77da0ef6622c18e6a245f2609d5fc04b	f	Não tenho coragem de cobrar fidelidade e isso para um homem é a maior das vergonhas, não sou homem, não sou gente, não sou nada com as drogas.	negativa	15.715
77da0ef6622c18e6a245f2609d5fc04b	f	Arrepiei-me, ele percebeu e veio se aproximando cada vez mais, segurou meu rosto; foi aproximando seu rosto até que encostou seus lábios nos meus.	positiva	17.919
77da0ef6622c18e6a245f2609d5fc04b	f	Neste momento senti minha vida acabar, meu coração estava partido em bilhões de pedaços, tudo que conquistei pedir, tudo que já fui não era mais, as lagrimas escorriam do meu rosto.	negativa	14.938
77da0ef6622c18e6a245f2609d5fc04b	f	Quero logo o seu abraço forte.	positiva	13.981
77da0ef6622c18e6a245f2609d5fc04b	f	Acordei na ilusão de ir ao uma festa e beber como toda adolescente de 17 anos.	neutra	35.736
77da0ef6622c18e6a245f2609d5fc04b	f	Nesse momento estou ocupada nas tarefas que o dia me exige, sem transtornos fora de hora.	neutra	14.388
