id	frase	0	0
1164	"Mas eu ainda estava em êxtase."	1	3
1165	"Conheci um amigo da minha irmã esses dias, ele tem 17 anos e pelo que percebi, é bem galinha, resolvi então, dar uma \"estudadinha\" no seu tipo e vou dar algumas dicas para as menininhas apaixonadas que lerem isso."	0	3
1166	"Hoje será o dia que ele vai estar completamente e malucamente apaixonado por você se tudo tiver ido certo."	1	3
1167	"De todo o amor do mundo para ele , sem cair em tentação ."	1	3
1168	"Hoje estou muito chateada, eu acho que eu estou sendo traída meu marido está me tratando diferente com muita frieza."	-1	3
1169	"Ele já me traiu uma outra vez e eu perdoei, ele esta agindo igual a outra vez, me tratando com a maior frieza."	-1	3
1170	"Falei com meu ex."	0	3
1171	"A gente só sabe das coisas vivendo, muitos julgam."	0	2
1172	"Só quem sabe realmente, sou eu que estou vivendo, sentindo."	0	3
1173	"Ele disse que não quer que eu me separe, não quer me ver sozinha."	0	3
1174	"Ele falou que gosta de mim de verdade, e pediu pra mim ter paciência."	1	3
1175	"Só é pra eu me separar, quando ele se separar."	0	3
1176	"Tudo que eu mais quero é dá certo com meu marido, viver um amor intensamente com ele."	1	3
1177	"Pronunciar que te admiro, que gosto de ti é pouco demais."	1	2
1178	"Pois essa nossa amizade merece mais que palavras, merecia ser contada ao mundo, para que assim todos pudessem sentir, e talvez até entender o significado da nossa amizade."	1	2
1179	"Mas ultimamente não estou aguentando, é como se eu tivesse precisando de algo a mais sabe, ou melhor, eu preciso, preciso de você."	0	2
1180	"O que estou sentindo por ti é algo que nem eu mesma consigo explicar, tentei me envolver com muitos, tentei te esquecer de várias maneiras, mas não consigo, é mais forte do que eu."	1	2
1181	"Nem ao menos um beijo seu eu consegui, mas posso afirmar que não foi necessário para mim me apaixonar loucamente por ti."	0	3
1182	"Queria esquecer a luz dos teus olhos, pois assim eu não sentiria saudades deles, queria esquecer o tom da sua voz, o seu jeito de falar, queria esquecer esse sorriso lindo que só você tem."	0	2
1183	"Queria tanto, mas não posso, pois o que sinto por ti é tão forte, impossível de esquecer."	1	3
1184	"Mas uma coisa é certa, te amo muito e mesmo querendo te esquecer, te amo cada vez mais, hoje mais do que ontem, amanhã mais do que nunca."	1	3
1185	"Ficar sem você é ter a noção do tempo e não saber preenchê-lo, é perder a paz e conhecer a ausência de alguém presente."	-1	3
1186	"Esperar é doloroso, esquecer é doloroso, mas não saber o que fazer é o pior tipo de sofrimento."	-1	3
1187	"Esperei tanto tempo para chegar a esse ponto, eu não sei mais o que fazer, tenho medo de perder sua amizade, ou melhor, acredito que perdi, pois nem querer me aceitar você quer mais."	-1	3
1188	"Porém o medo de você se distanciar de mim é maior que tudo."	-1	2
1189	"Presta atenção nas músicas que escuto e nas coisas que eu posto."	0	2
1190	"No jeito que eu te trato, em como eu me preocupo contigo."	0	2
1191	"Eu realmente precisava lhe dizer isso, não aguentava mais."	0	2
1192	"Quando chega a noite, hora de dormir, encosto a cabeça no travesseiro e meu pensamento me transporta para um mundo maravilhoso."	1	3
1193	"Penso que estou em seus braços, encolhida e tímida, apaixonada e realizada."	1	3
1194	"Sinto a força e o calor daquele que é o homem da minha vida."	1	3
1195	"Sonho com você a noite inteira e me sinto aflita e insegura por não saber se um dia vou transformar este sonho em realidade."	-1	2
1196	"Não se espante com esta confissão."	0	2
1197	"É mesmo uma ousada declaração de amor."	1	2
1198	"Não quero que isso te perturbe e tire a sua paz."	-1	2
1199	"Ao contrário, gostaria de estar sempre ao seu lado para te amar e te dar muito carinho."	1	3
1200	"Quero toda a tranquilidade para você."	1	3
1201	"Pense nisso, saiba que eu te amo demais, desejo muito sua companhia."	1	3
1202	"Quero te dar todo o meu amor."	1	3
1203	"Cobrir-te de beijos e saciar todos os seus desejos."	1	3
1204	"Isso é tudo que tive a coragem de te dizer."	0	2
1205	"Espero que um dia possamos ser felizes juntos."	1	3
1206	"Possa ser que o que disse não faça a mínima importância, pois você começou um novo relacionamento a pouco tempo, porém eu precisava me expressar de qualquer maneira."	-1	3
1207	"E espero que me compreenda, porque não pedi pra me apaixonar, pois quem manda na gente é o coração."	1	2
1208	"Sinceramente, o amor não se escolhe, apenas acontece."	1	3
1209	"Coisas acontecem nos piores momentos, faz parte dessa longa viagem chamada vida."	-1	2
1210	"Acordei como de costume as 6 e 20 para ir ao colégio, me arrumei, e fui."	0	3
1211	"Chegando lá falei com minhas amigas e fui para o corredor aonde eu espero meu namorado todos os dias até 7:20, ele então chegou guardou seus materiais e veio falar comigo."	0	2
1212	"Ele se aproximou de mim me deu aquele abraço bem apertado e disse eu te amo."	1	3
1213	"Perguntou se eu estava melhor ( ultimamente só tenho chorado), disse para ele que eu estava normal, mais não consigo engana-lo, ele sabia que eu não estava bem."	-1	3
